split	id	before	after	chars_found
dev	412	Tamnayit d taredsa yettnaɣen ɣef uεrur n yiεidiwen. Tarikt urεad i d-tennulfa, ihi tamnayit Tassiryanit tennuɣ ɣef uεrur imsuray n yiεidiwen-nsen.	Tamnayit d taredsa yettnaɣen ɣef uɛrur n yiɛidiwen. Tarikt urɛad i d-tennulfa, ihi tamnayit Tassiryanit tennuɣ ɣef uɛrur imsuray n yiɛidiwen-nsen.	ε
dev	421	Kra n yimeεkaf Ilalmaniyen bɣan ad sqerben Illu ɣer yemdanen ineṣliyen, dimi akka i d-snulfan tutlayt taneṣlit Tastunit.	Kra n yimeɛkaf Ilalmaniyen bɣan ad sqerben Illu ɣer yemdanen ineṣliyen, dimi akka i d-snulfan tutlayt taneṣlit Tastunit.	ε
dev	424	S wudem amensay, amekkasu n lεerc ad iruḥ srid ɣer tredsa seld mi ara yefru leqraya-s.	S wudem amensay, amekkasu n lɛerc ad iruḥ srid ɣer tredsa seld mi ara yefru leqraya-s.	ε
dev	428	Tamurt n Ṭurk tεedda 1,600 n yikilumitren (1,000 mi) di teɣzi d 800km (500 mi) di tehri, s talɣa n usrem.	Tamurt n Ṭurk tɛedda 1,600 n yikilumitren (1,000 mi) di teɣzi d 800km (500 mi) di tehri, s talɣa n usrem.	ε
dev	432	Luksemburg yesεa amezruy ɣezzifen maca timunent-is tella-d si 1839.	Luksemburg yesɛa amezruy ɣezzifen maca timunent-is tella-d si 1839.	ε
dev	434	Lukemburg tezga teεreḍ ad teqqim d tamurt iεezlen iman-is maca ṭṭfen-tt Lalman deg Trad Amaḍlan I d Trad Amaḍlan II.	Lukemburg tezga teɛreḍ ad teqqim d tamurt iɛezlen iman-is maca ṭṭfen-tt Lalman deg Trad Amaḍlan I d Trad Amaḍlan II.	ε
dev	446	Zik di tmunent n uɣlan, tawzut n Tebḥirin n Yimɣan n Sangabur tεawen i wakken ad tbeddel tigzirt ɣer Teɣṛemt n Tebḥirt Tatṛubikan.	Zik di tmunent n uɣlan, tawzut n Tebḥirin n Yimɣan n Sangabur tɛawen i wakken ad tbeddel tigzirt ɣer Teɣṛemt n Tebḥirt Tatṛubikan.	ε
dev	450	Tamnaḍt Serengeti tesεa Urti Aɣelnaw Serengeti, Tama n Uḥraz Ngurunguru d Teẓgi Urar n Maswa di Ṭanzanya akked Teẓgi Taɣelnawt Maasai Mara di Kenya.	Tamnaḍt Serengeti tesɛa Urti Aɣelnaw Serengeti, Tama n Uḥraz Ngurunguru d Teẓgi Urar n Maswa di Ṭanzanya akked Teẓgi Taɣelnawt Maasai Mara di Kenya.	ε
dev	452	Asugen n temyigawt yessuter-d d akken ad tεawdeḍ ad ssitgeḍ ittɣilen-ik ɣef ufares n ulɣagdud yerna ad tlemdeḍ ad txemmemeḍ s tmamkin wartizelmanin.	Asugen n temyigawt yessuter-d d akken ad tɛawdeḍ ad ssitgeḍ ittɣilen-ik ɣef ufares n ulɣagdud yerna ad tlemdeḍ ad txemmemeḍ s tmamkin wartizelmanin.	ε
dev	453	Asugen n temyigawt yessuter d akken iferdisen n usenfar ad ilin qqnen wa ɣer wa, maca ad sεun anamek yal yiwen weḥd-s.	Asugen n temyigawt yessuter d akken iferdisen n usenfar ad ilin qqnen wa ɣer wa, maca ad sɛun anamek yal yiwen weḥd-s.	ε
dev	455	Ay-agi ur yuɣal ara d aɣbel maḍi imi ilesnulfuyen n yiswiyen ssawaḍen taɣaṛa εlayen deg ufares n yiswiyen.	Ay-agi ur yuɣal ara d aɣbel maḍi imi ilesnulfuyen n yiswiyen ssawaḍen taɣaṛa ɛlayen deg ufares n yiswiyen.	ε
dev	458	Ay-agi yeǧǧa tilentiyin n usemɣur i ṛxisen weεren i usexdem deg tegnatin anda tenqes tafat mebla asexdem n uflac.	Ay-agi yeǧǧa tilentiyin n usemɣur i ṛxisen weɛren i usexdem deg tegnatin anda tenqes tafat mebla asexdem n uflac.	ε
dev	465	Xas akken d ibeddi i tbeddeḍ di tlemmast n unestim yesεan agim n yiseggasen di leεmeṛ-is mazal yeshel ad d-terreḍ di ddehn-ik lḥes d rriḥa n yimenɣan yefran acḥal-aya, ahat ad tesleḍ maḍi iqebqaben n yiεidiwen ɣef ubrid yerna ad tesriḥeḍ tugdi i d-yulin si tserfin.	Xas akken d ibeddi i tbeddeḍ di tlemmast n unestim yesɛan agim n yiseggasen di leɛmeṛ-is mazal yeshel ad d-terreḍ di ddehn-ik lḥes d rriḥa n yimenɣan yefran acḥal-aya, ahat ad tesleḍ maḍi iqebqaben n yiɛidiwen ɣef ubrid yerna ad tesriḥeḍ tugdi i d-yulin si tserfin.	ε
dev	475	Γef leḥsab n tmacahut, tiṭ-is ad yettwassen s yak timamkin. Ifesyaten, s wurif, berḥen-d d akken isem n Herustratus ur yettwaklas ara.	Ɣef leḥsab n tmacahut, tiṭ-is ad yettwassen s yak timamkin. Ifesyaten, s wurif, berḥen-d d akken isem n Herustratus ur yettwaklas ara.	Γ
dev	477	Aleksander, imi d agellid, yesumer ad yefk idrimen i wakken ad εawden lebni n ufakan, maca ur qbilen ara asumer-ines. Sakkin, seld mi yemmut Aleksander, afakan εawden-as tasuki di 323 Uqbel Talalit n Tmasiḥit.	Aleksander, imi d agellid, yesumer ad yefk idrimen i wakken ad ɛawden lebni n ufakan, maca ur qbilen ara asumer-ines. Sakkin, seld mi yemmut Aleksander, afakan ɛawden-as tasuki di 323 Uqbel Talalit n Tmasiḥit.	ε
dev	480	Γef ukurdiyun, i wakken ad tesεuḍ ugar n ṣṣut, ilaq-ak ad tesxedmeḍ iguclan s ugar n waddad neɣ arured.	Ɣef ukurdiyun, i wakken ad tesɛuḍ ugar n ṣṣut, ilaq-ak ad tesxedmeḍ iguclan s ugar n waddad neɣ arured.	Γ,ε
dev	483	Ineḍfaren tabaεen timamkin n tudert tinelkanin, neɣ irmuden tiṭ-nsen ad sneflin tirmiyin-nni.	Ineḍfaren tabaɛen timamkin n tudert tinelkanin, neɣ irmuden tiṭ-nsen ad sneflin tirmiyin-nni.	ε
dev	484	Udrig nezmer ad tneεqel ɣef talɣiwin niḍen n teflest n usɣan d uεbad s waddad-ines ɣef tirmit tudmawant tusridt n waddad aywan n tefrit, ladɣa tid n uwadem, n talwit, amegzu, n tumert, neɣ ula d win yellan ack-it.	Udrig nezmer ad tneɛqel ɣef talɣiwin niḍen n teflest n usɣan d uɛbad s waddad-ines ɣef tirmit tudmawant tusridt n waddad aywan n tefrit, ladɣa tid n uwadem, n talwit, amegzu, n tumert, neɣ ula d win yellan ack-it.	ε
dev	486	Isixiyen ḥesben taflest-nsen d asɣan ur neqqin ɣer Uhinduyism ɣas akken stεerfen s yiẓuran-is d yinsayen-is Ihinduten.	Isixiyen ḥesben taflest-nsen d asɣan ur neqqin ɣer Uhinduyism ɣas akken stɛerfen s yiẓuran-is d yinsayen-is Ihinduten.	ε
dev	490	Maca ɣer taggara, Kruckef iceggeε isbabbayen iselḥen i wakken ad yerr tasunḍa, yeqbel s kra n isutar idamsanen yerna yeqbel ad yessers Wladislaw Gumulka yettwassnen d aneɣlaf amenzu amaynut.	Maca ɣer taggara, Kruckef iceggeɛ isbabbayen iselḥen i wakken ad yerr tasunḍa, yeqbel s kra n isutar idamsanen yerna yeqbel ad yessers Wladislaw Gumulka yettwassnen d aneɣlaf amenzu amaynut.	ε
dev	491	Taɣeṛma n Uẓaɣar Indus d taɣeṛma n Tallit n Ubṛunz deg umenzaw Ahendi n ugafa i d-ijemεen tuget n Bakistan n tura d kra n temnaḍin n Lhend n ugafa amalu d Afɣanistan n ugafa asamar.	Taɣeṛma n Uẓaɣar Indus d taɣeṛma n Tallit n Ubṛunz deg umenzaw Ahendi n ugafa i d-ijemɛen tuget n Bakistan n tura d kra n temnaḍin n Lhend n ugafa amalu d Afɣanistan n ugafa asamar.	ε
dev	493	Γas akken kra n yimazrayen ɣilen d akken imi tella tɣeṛma ula deg waman n Wasif Sarasbati yekkawen tura, ilaq ad as-ssiwlen Taɣeṛma n Indus-Sarasbati, ma yella kra seg-sen ssawalen-as Taɣeṛma Harabban seld Harabba, amenzu n yidgan yettwaqelleb deg yiseggasen 1920.	Ɣas akken kra n yimazrayen ɣilen d akken imi tella tɣeṛma ula deg waman n Wasif Sarasbati yekkawen tura, ilaq ad as-ssiwlen Taɣeṛma n Indus-Sarasbati, ma yella kra seg-sen ssawalen-as Taɣeṛma Harabban seld Harabba, amenzu n yidgan yettwaqelleb deg yiseggasen 1920.	Γ
dev	494	Aɣbalu aserdasi n tmnekda Taṛumit iεawen deg tneflit n ufara asejjan.	Aɣbalu aserdasi n tmnekda Taṛumit iɛawen deg tneflit n ufara asejjan.	ε
dev	496	Ifettaken zran d akken llan isufar n yiḍes anḍiyen am murfin seg zzariεa n ujiḥbuḍ d skubulamin seg zzariεa n yimɣan.	Ifettaken zran d akken llan isufar n yiḍes anḍiyen am murfin seg zzariɛa n ujiḥbuḍ d skubulamin seg zzariɛa n yimɣan.	ε
dev	498	Γef waṭas n tasutin, tamnekda Taṛumanit teṣṣaweḍ aṭas n lerbaḥ imeqqranen deg unnar n tujjya yerna tessileɣ aṭas n tmussni i nesεa tura.	Ɣef waṭas n tasutin, tamnekda Taṛumanit teṣṣaweḍ aṭas n lerbaḥ imeqqranen deg unnar n tujjya yerna tessileɣ aṭas n tmussni i nesɛa tura.	Γ,ε
dev	499	Urigami n tmurt yeṣfan d urigami yesεan talast d akken yiwen n uḍebbeq kan ilaq ad yilin ɣef tikkelt, aḍebbeq iṣeεben ugar am uḍebbeq meqlubi ur laqen ara, yerna akk aḍebbeq yellan ilaq ad yesεu idgan usriden.	Urigami n tmurt yeṣfan d urigami yesɛan talast d akken yiwen n uḍebbeq kan ilaq ad yilin ɣef tikkelt, aḍebbeq iṣeɛben ugar am uḍebbeq meqlubi ur laqen ara, yerna akk aḍebbeq yellan ilaq ad yesɛu idgan usriden.	ε
dev	500	Yesnulfa-t-id Jun Smit deg iseggasen n 1970 i wakken ad iεiwen imḍebqen ibujaden d wid ur nezmir ad mbiwlen mliḥ.	Yesnulfa-t-id Jun Smit deg iseggasen n 1970 i wakken ad iɛiwen imḍebqen ibujaden d wid ur nezmir ad mbiwlen mliḥ.	ε
dev	508	Aṭṭan n Lexṣaṣ n Urekkez "d aṭṭan n wallaɣ yesεan kraḍ n isekna am wurrif, asedhu, d umbiwel n waṭas neɣ ugar n tsṛeɣt".	Aṭṭan n Lexṣaṣ n Urekkez "d aṭṭan n wallaɣ yesɛan kraḍ n isekna am wurrif, asedhu, d umbiwel n waṭas neɣ ugar n tsṛeɣt".	ε
dev	510	Igerdan s ADD sεan aɣbel n urekkez ɣef tɣawsiwin am yirmuden n uɣerbaz, maca zemren ad rekkzen ɣef tɣawsiwin i ḥemmlen ad xedmen am wurar neɣ aferreǧ n wunuɣen-nsen ittembiwilen smenyifen neɣ tira n tefyirin mebla asigez.	Igerdan s ADD sɛan aɣbel n urekkez ɣef tɣawsiwin am yirmuden n uɣerbaz, maca zemren ad rekkzen ɣef tɣawsiwin i ḥemmlen ad xedmen am wurar neɣ aferreǧ n wunuɣen-nsen ittembiwilen smenyifen neɣ tira n tefyirin mebla asigez.	ε
dev	511	Igerdan-agi seεεun aṭas n yiɣeblan, acku "ṭṭafaren tikliwin timihawin , ttmecččawen, yerna tteddun di nnmara" i wakken ad ssakin allaɣ-nsen, imi allaɣ-nsen ur d-yettaki ara s tarrayin tinamayin.	Igerdan-agi seɛɛun aṭas n yiɣeblan, acku "ṭṭafaren tikliwin timihawin , ttmecččawen, yerna tteddun di nnmara" i wakken ad ssakin allaɣ-nsen, imi allaɣ-nsen ur d-yettaki ara s tarrayin tinamayin.	ε
dev	516	Γef lexlaf n yebkan niḍen, huminids ur ssexdamen ara ifassen-nsen deg umbiwel neɣ deg urfad n wayen ẓẓayen neɣ deg uεelleq si useklu ɣer wayeḍ.	Ɣef lexlaf n yebkan niḍen, huminids ur ssexdamen ara ifassen-nsen deg umbiwel neɣ deg urfad n wayen ẓẓayen neɣ deg uɛelleq si useklu ɣer wayeḍ.	Γ,ε
dev	519	Tisigar n yiɣsan n wufus n sin n yimelyunen ɣer kraḍ n yimelyunen di leεmeṛ-nsent sbanent-d abeddel deg ummuzgen n wufus seg tikli ɣer umbiwel.	Tisigar n yiɣsan n wufus n sin n yimelyunen ɣer kraḍ n yimelyunen di leɛmeṛ-nsent sbanent-d abeddel deg ummuzgen n wufus seg tikli ɣer umbiwel.	ε
dev	521	Ssebba tagejdant n tarat-agi d agemmaḍ n tirga yukin iεeddan akud gar lḥalat REM.	Ssebba tagejdant n tarat-agi d agemmaḍ n tirga yukin iɛeddan akud gar lḥalat REM.	ε
dev	522	S kra n REM deg yiḍ, lḥala-agi anda teṭṭseḍ s tidet yerna anda tesgunfuy tfekka-k tettuɣal teεweq ddeqs-is i wakken ad yili uɣbel.	S kra n REM deg yiḍ, lḥala-agi anda teṭṭseḍ s tidet yerna anda tesgunfuy tfekka-k tettuɣal teɛweq ddeqs-is i wakken ad yili uɣbel.	ε
dev	524	Asemdu icudd ɣer wacḥal n tikkal yeεreḍ wallaɣ-ik ad yargu netta yuki i yiḍ.	Asemdu icudd ɣer wacḥal n tikkal yeɛreḍ wallaɣ-ik ad yargu netta yuki i yiḍ.	ε
dev	723	Γef leḥsab n Fray Bartulumi de las Casas (Tratadu de las Indias) gar 1492 d 1498 imhuras Isbanyuliyen nɣan qrib 100,000 Taynus.	Ɣef leḥsab n Fray Bartulumi de las Casas (Tratadu de las Indias) gar 1492 d 1498 imhuras Isbanyuliyen nɣan qrib 100,000 Taynus.	Γ
dev	881	Yiwen seg wagazen n tezmert n Čarlut, Karulina n Ugafa, d akken teččuṛ d tifranin n tɣaṛa εlayen i twaculin.	Yiwen seg wagazen n tezmert n Čarlut, Karulina n Ugafa, d akken teččuṛ d tifranin n tɣaṛa ɛlayen i twaculin.	ε
dev	890	Ttilint-d tikkwal tirziwin tignawiyin timeẓlayin yettruḥun ɣer daxel n tmurt, i wakken ad alin ɣef yidurar neɣ i wakken ad awḍen ɣer Tezgelt, yesεan azadur ameqqran.	Ttilint-d tikkwal tirziwin tignawiyin timeẓlayin yettruḥun ɣer daxel n tmurt, i wakken ad alin ɣef yidurar neɣ i wakken ad awḍen ɣer Tezgelt, yesɛan azadur ameqqran.	ε
dev	895	Ma ulac maḍi, teḥwaǧeḍ isebbaḍen s temlixin iwulmen. Isebbaḍen n unebdu zgan ttecgen mliḥ ɣef ugris d udfel, ula d kra n isebbaḍen n tegrest ur mεinen ara.	Ma ulac maḍi, teḥwaǧeḍ isebbaḍen s temlixin iwulmen. Isebbaḍen n unebdu zgan ttecgen mliḥ ɣef ugris d udfel, ula d kra n isebbaḍen n tegrest ur mɛinen ara.	ε
dev	897	Kra n yisebbaḍen n tegrest ilaq ad sεun imesmaṛen yerna yella warrum n tmerna ttsemmiṛen i tegnatin n tuccga, iwulmen i tuget n yisebbaḍen d isebbaḍen n tegrest, i yigerzan neɣ i yigerzan d temlixin.	Kra n yisebbaḍen n tegrest ilaq ad sɛun imesmaṛen yerna yella warrum n tmerna ttsemmiṛen i tegnatin n tuccga, iwulmen i tuget n yisebbaḍen d isebbaḍen n tegrest, i yigerzan neɣ i yigerzan d temlixin.	ε
dev	907	Sεan s wudem anamay tamuli εlayen s tɣara n umeẓlu tamawayt. Ttwasneglen dɣa yewεer ugar ad sɣallayen fell-asen.	Sɛan s wudem anamay tamuli ɛlayen s tɣara n umeẓlu tamawayt. Ttwasneglen dɣa yewɛer ugar ad sɣallayen fell-asen.	ε
dev	908	Tikebbaniyin n usneɣmes zgant skiddibent ɣef yiswi n waya, imi qqaren-d d akken yella-d i wakken ad "qeḍeεen tudert tabaḍnit".	Tikebbaniyin n usneɣmes zgant skiddibent ɣef yiswi n waya, imi qqaren-d d akken yella-d i wakken ad "qeḍeɛen tudert tabaḍnit".	ε
dev	909	Di tilawt, ingalen n temnaḍin ur sεin ara akk asemdu ɣef tenɣelt taruzrift; tanɣelt n telɣut-s-telɣut n uḍebsi ad telḥu akken iwata deg yal tamacint anda ad ilḥu uẓaṛan.	Di tilawt, ingalen n temnaḍin ur sɛin ara akk asemdu ɣef tenɣelt taruzrift; tanɣelt n telɣut-s-telɣut n uḍebsi ad telḥu akken iwata deg yal tamacint anda ad ilḥu uẓaṛan.	ε
dev	910	Iswi n tidet d asiǧhed n tkebbaniyin-agi, ad sεunt ugar n tezmert ɣef wulzuzen-nsen; d tuzzya kan n yidrimen.	Iswi n tidet d asiǧhed n tkebbaniyin-agi, ad sɛunt ugar n tezmert ɣef wulzuzen-nsen; d tuzzya kan n yidrimen.	ε
dev	912	Ur d-ssuturen ara daɣen ad tesεuḍ uṭṭun adigan seg tmazdayt anda tzedɣeḍ; tzemreḍ ad tesεuḍ tuqqna Internet n ugensa deg tẓegwa n Uyaẓiḍ, Alaska yerna ad tferneḍ uṭṭun i d-yesbanayen d akken telliḍ ddaw n yiṭij n Arizuna.	Ur d-ssuturen ara daɣen ad tesɛuḍ uṭṭun adigan seg tmazdayt anda tzedɣeḍ; tzemreḍ ad tesɛuḍ tuqqna Internet n ugensa deg tẓegwa n Uyaẓiḍ, Alaska yerna ad tferneḍ uṭṭun i d-yesbanayen d akken telliḍ ddaw n yiṭij n Arizuna.	ε
dev	915	Kra seg yesnasen deg taggayt-agi zemren ad ssuɣlen ula d iḍrisen deg tutlayin tibeṛṛaniyin ɣef yesɣilen neɣ tiɣawsiwin niḍen deg tilawt mi ara d-yessewεed usemras tiliɣṛi ɣer tɣawsiwin-nni.	Kra seg yesnasen deg taggayt-agi zemren ad ssuɣlen ula d iḍrisen deg tutlayin tibeṛṛaniyin ɣef yesɣilen neɣ tiɣawsiwin niḍen deg tilawt mi ara d-yessewɛed usemras tiliɣṛi ɣer tɣawsiwin-nni.	ε
dev	919	Yezmer ad yejmeε idrimen s tiɣin n tkarḍiwin timaynutin i GBS, neɣ tamacint timanit GBS neɣ lekra n yiwen seg tkebbanit n lekra n tkeryas.	Yezmer ad yejmeɛ idrimen s tiɣin n tkarḍiwin timaynutin i GBS, neɣ tamacint timanit GBS neɣ lekra n yiwen seg tkebbanit n lekra n tkeryas.	ε
dev	920	Ma yella ur tesεiḍ ara tuqqna n yisefka i tiluɣṛi-inek, neɣ mi ur tzemmreḍ ara ad teṭṭfeḍ, aselḥu-nsen yezmer ad yesεu tilas neɣ ur yettili ara.	Ma yella ur tesɛiḍ ara tuqqna n yisefka i tiluɣṛi-inek, neɣ mi ur tzemmreḍ ara ad teṭṭfeḍ, aselḥu-nsen yezmer ad yesɛu tilas neɣ ur yettili ara.	ε
dev	922	Imi tuget n tkarḍin lhant i usiwel anda id ak-yehwa, kra muzzgen deg tikci n yifmiḍiyen imeεnen n ussiwel i yigrawen usdiden n tmura.	Imi tuget n tkarḍin lhant i usiwel anda id ak-yehwa, kra muzzgen deg tikci n yifmiḍiyen imeɛnen n ussiwel i yigrawen usdiden n tmura.	ε
dev	924	Ilugan yeεnan aṣewwer umṛis εnan ula asurret n ufidyu, ahat ugar n waya.	Ilugan yeɛnan aṣewwer umṛis ɛnan ula asurret n ufidyu, ahat ugar n waya.	ε
dev	929	Tikkwal yiwen n wafug yezmer ad yesεu sswami yemgaraden mliḥ ɣer waṭas n yismal yerna ilaq ad txellseḍ aserwes igemmaḍen n unadi akked uwali deg yismal web n tkebbanit n isufag s timmad-is send aḥeṛṛi.	Tikkwal yiwen n wafug yezmer ad yesɛu sswami yemgaraden mliḥ ɣer waṭas n yismal yerna ilaq ad txellseḍ aserwes igemmaḍen n unadi akked uwali deg yismal web n tkebbanit n isufag s timmad-is send aḥeṛṛi.	ε
dev	930	Γas akken ur tetteḥwiǧiḍ ara afiza i uḥewwes wezzilen ɣer kra n tmura d amerray neɣ i uxeddim, ma yella truḥeḍ d anelmad agraɣlan ad ak-d-ssutren s umata akud n yiɣimi ɣezzifen ɣef ma yella truḥeḍ d amerray kan umṛis.	Ɣas akken ur tetteḥwiǧiḍ ara afiza i uḥewwes wezzilen ɣer kra n tmura d amerray neɣ i uxeddim, ma yella truḥeḍ d anelmad agraɣlan ad ak-d-ssutren s umata akud n yiɣimi ɣezzifen ɣef ma yella truḥeḍ d amerray kan umṛis.	Γ
dev	938	Γas akken asefqed n yinig yezga iɣab neɣ yettili-d kan d lwajeb mi ad tawḍeḍ ɣer tmurt-ik, yezmer ad yili usefqed n tdawna d asawen.	Ɣas akken asefqed n yinig yezga iɣab neɣ yettili-d kan d lwajeb mi ad tawḍeḍ ɣer tmurt-ik, yezmer ad yili usefqed n tdawna d asawen.	Γ
dev	944	Tezmer ad tili daɣen d tamamekt yelhan i wakken ad tjemεeḍ ugar n yidrimen i wakken ad teqqimeḍ akud ɣezzifen anda tufiḍ imi aṭas n leqdicat n yiwaziwen ttaken taxxamt d wučči yerna kra ttxelliṣen ciṭ.	Tezmer ad tili daɣen d tamamekt yelhan i wakken ad tjemɛeḍ ugar n yidrimen i wakken ad teqqimeḍ akud ɣezzifen anda tufiḍ imi aṭas n leqdicat n yiwaziwen ttaken taxxamt d wučči yerna kra ttxelliṣen ciṭ.	ε
dev	945	Ifikingen llan ttaṭṭafen iberdan n ussilel Irussiyen i wakken ad awḍen ɣer Yilel Aberkan akked Yilel Akasbyan. Mazal zemren yemdanen ad awin iḥricen n yiberdan-agi. Walit acu n ttesriḥat imeẓliyen i tzemrem ad tiḥwiǧem, iweεren i wakken ahat ad ten-id-awiḍ.	Ifikingen llan ttaṭṭafen iberdan n ussilel Irussiyen i wakken ad awḍen ɣer Yilel Aberkan akked Yilel Akasbyan. Mazal zemren yemdanen ad awin iḥricen n yiberdan-agi. Walit acu n ttesriḥat imeẓliyen i tzemrem ad tiḥwiǧem, iweɛren i wakken ahat ad ten-id-awiḍ.	ε
dev	949	S wudem anamay ad tesserseḍ ulɣu d akken tebɣiḍ ad tεiwneḍ, ad tnadiḍ akk ignennayen, ad tqerbeḍ ɣer yemdanen yessizdigen iɣeṛṛuba-nsen, ad tεerḍeḍ ad temmeslayeḍ akked yemsilal di ttberna, atg.	S wudem anamay ad tesserseḍ ulɣu d akken tebɣiḍ ad tɛiwneḍ, ad tnadiḍ akk ignennayen, ad tqerbeḍ ɣer yemdanen yessizdigen iɣeṛṛuba-nsen, ad tɛerḍeḍ ad temmeslayeḍ akked yemsilal di ttberna, atg.	ε
dev	950	Ɛreḍ ad temmeslayeḍ i waṭas n yemdanen i tewεiḍ. Seld ciṭ n wakud ad k-issinen akk dinna dɣa ad ak-wehhin ɣer uɣeṛṛabu yeḥwaǧen amεiwen.	Ɛreḍ ad temmeslayeḍ i waṭas n yemdanen i tewɛiḍ. Seld ciṭ n wakud ad k-issinen akk dinna dɣa ad ak-wehhin ɣer uɣeṛṛabu yeḥwaǧen amɛiwen.	ε
dev	952	Γas akken ad tɣileḍ d akken d amagnu ad tedduḍ akked tkebbanit n isufag i tennumeḍ, ilaq ad teẓreḍ d akken iglamen i d-tettak zgan mgaraden yerna tineqqiḍin n tekdit zemrent ad arnunt ugar deg tkebbanit n isufag niḍen yemgaraden deg yiwet n temsisit.	Ɣas akken ad tɣileḍ d akken d amagnu ad tedduḍ akked tkebbanit n isufag i tennumeḍ, ilaq ad teẓreḍ d akken iglamen i d-tettak zgan mgaraden yerna tineqqiḍin n tekdit zemrent ad arnunt ugar deg tkebbanit n isufag niḍen yemgaraden deg yiwet n temsisit.	Γ
dev	953	Tikebbaniyin n isufag am Emirats, Afug Itiḥad, Afug Qatar d Tkebbaniyin n isufag Tiṭurkiyin swesεent mliḥ imeẓla-nsent ɣer Tefṛiqt, yerna sutrent tuqqna akked waṭas n temdinin Tifṛiqiyin timeqqranin s sswami yessenkaren timenyugert akked tikebbaniyin n isufag Tuṛufiyin.	Tikebbaniyin n isufag am Emirats, Afug Itiḥad, Afug Qatar d Tkebbaniyin n isufag Tiṭurkiyin swesɛent mliḥ imeẓla-nsent ɣer Tefṛiqt, yerna sutrent tuqqna akked waṭas n temdinin Tifṛiqiyin timeqqranin s sswami yessenkaren timenyugert akked tikebbaniyin n isufag Tuṛufiyin.	ε
dev	955	Ma yella tesεiḍ akud n yinig n tmerna, wali ssuma tummidt ɣer Tefṛiqt dɣa serwes-itt akked ssuma n yinig ɣer yakk amaḍal.	Ma yella tesɛiḍ akud n yinig n tmerna, wali ssuma tummidt ɣer Tefṛiqt dɣa serwes-itt akked ssuma n yinig ɣer yakk amaḍal.	ε
dev	957	Ma yella tebɣiḍ ad tezziḍ s wafug amaḍal s wudem ummid deg Tama n Unẓul, tafrant n yisufag d yidgan tesεa tilas imi xuṣṣen iberdan izegren ilel.	Ma yella tebɣiḍ ad tezziḍ s wafug amaḍal s wudem ummid deg Tama n Unẓul, tafrant n yisufag d yidgan tesɛa tilas imi xuṣṣen iberdan izegren ilel.	ε
dev	971	Ladɣa, anagraw n wuṭṭunen deg Beljik d Swiss yettmeslayen Tafranṣiṣt yesεa ciṭ n tulmisin yemgaraden si Tefranṣiṣt ttmeslayen di Franṣa, yerna asenṭeq n kra n wawalen yemgarad cwiṭ.	Ladɣa, anagraw n wuṭṭunen deg Beljik d Swiss yettmeslayen Tafranṣiṣt yesɛa ciṭ n tulmisin yemgaraden si Tefranṣiṣt ttmeslayen di Franṣa, yerna asenṭeq n kra n wawalen yemgarad cwiṭ.	ε
dev	973	Deg waṭas n tamiwin n umaḍal, asewεed d asekni n tdukkli, anamek-is "azul".	Deg waṭas n tamiwin n umaḍal, asewɛed d asekni n tdukkli, anamek-is "azul".	ε
dev	975	Akka daɣen, amessikel Abriṭani di Sbanyul yezmer ad yeɣleḍ ad yessewεed s ufus-is ar tufat anda tidikelt twehha ɣer-s netta s win yessewεaden (wala amdan i wumi yessewεad) d asekni i wakken ad d-yuɣal.	Akka daɣen, amessikel Abriṭani di Sbanyul yezmer ad yeɣleḍ ad yessewɛed s ufus-is ar tufat anda tidikelt twehha ɣer-s netta s win yessewɛaden (wala amdan i wumi yessewɛad) d asekni i wakken ad d-yuɣal.	ε
dev	976	Tutlayin tisnawanin d tutlayin tuɣrifin neɣ d tutlayin n tsuki i d-yennulfan s lebɣi n usishel n teywalt gar yegduden neɣ ma ulac ad sεun ilɣi i wakken ad selɣun.	Tutlayin tisnawanin d tutlayin tuɣrifin neɣ d tutlayin n tsuki i d-yennulfan s lebɣi n usishel n teywalt gar yegduden neɣ ma ulac ad sɛun ilɣi i wakken ad selɣun.	ε
dev	979	Ayagi yezmer ad yili d amihi ma yella umessikel yeḍfer ashetref-is, ad yesruḥ akk tasaṛeɣt-is yesεan azal d waman is-d-yegran.	Ayagi yezmer ad yili d amihi ma yella umessikel yeḍfer ashetref-is, ad yesruḥ akk tasaṛeɣt-is yesɛan azal d waman is-d-yegran.	ε
dev	982	Γas akken ad tleḥḥuḍ deg teẓgi tatṛubikant, ciṭ kan n tasinin s tewwura yeldin i wakken kan ad trekbeḍ daxel n tkeṛṛust deqs n wakud i tidasin i wakken ad kecment yid-k daxel n tkeṛṛust.	Ɣas akken ad tleḥḥuḍ deg teẓgi tatṛubikant, ciṭ kan n tasinin s tewwura yeldin i wakken kan ad trekbeḍ daxel n tkeṛṛust deqs n wakud i tidasin i wakken ad kecment yid-k daxel n tkeṛṛust.	Γ
dev	986	Ayen yettwassnen di Nuṛwi d Fjurds d tiluta εlayen i yeǧǧan amekkan kan akka i ugni εlayen akka ciṭ.	Ayen yettwassnen di Nuṛwi d Fjurds d tiluta ɛlayen i yeǧǧan amekkan kan akka i ugni ɛlayen akka ciṭ.	ε
